游记ID,标题,链接,规则1,规则2
1328700,关于2013仲夏成都“溜达”的碎碎念,http://www.mafengwo.cn/i/1328700.html,无,无
1325573,我在成都跳慢三,http://www.mafengwo.cn/i/1325573.html,十天(兰州、敦煌、张掖、青海湖、西安的旅行还有十天整。于是决定——回顾下去年去成都的行程吧)|9日(1wvr=5   成都：2012年11月9日-11月23日 上海出发，依旧是一个人的)|23日(   成都：2012年11月9日-11月23日 上海出发，依旧是一个人的旅行     )|1天(关于火车票：火车从上海到成都时间有点长，1天5小时37分。买的是硬卧，周围的人都嫌弃)|20日(个妹子拼桌吃的          11月20日：早上吃的是文殊院旁边的闻酥园的点心，大)|21日(                 11月21日：天天都是睡觉睡到自然醒的节奏，(～﹃～)|22日(饭啊！！！！           11月22日：   早饭-小谭豆花：馓子豆花、冰碎豆)|23日(自己拌起来的            7月23日  早上：泰迪熊博物馆，下午在附近逛逛，),无
1319986,一个大号单身和四对“热恋中”的恋人的天台山之行,http://www.mafengwo.cn/i/1319986.html,无,第二天(张 自恋一下          后面是我第二天早上七点过起来往山上散步照的照片，恋人们)
859549,九峰山（成都）,http://www.mafengwo.cn/i/859549.html,3日(时间：2012年4月2——3日遥望登顶中远眺九峰山在山顶欢腾 太阳躲进),无
1321750,成都-九寨,http://www.mafengwo.cn/i/1321750.html,一天(，这是一场戏。我却不知道如何去定义。最后一天，由于他因。并没有随大家一起出行。办完所)|一天(，很少喝茶。那就是他们是在为逐渐失去的每一天攒钱。余秋雨先生在参观罗马时，把欧洲人和),无
1297295,说走就走@2013川西跨年之旅(成都.泸定.海螺沟),http://www.mafengwo.cn/i/1297295.html,无,第二天(间.重走泸定桥     在成都小住一晚，第二天一早包车出发，此行的目的地是海螺沟，因为)|第二天(           在磨西镇睡了一晚，第二天，天蒙蒙亮出发回成都，在成都逛了一下锦里)
1191016,还会再去的城市——成都,http://www.mafengwo.cn/i/1191016.html,2日(的心情只有自己知道，最终的行程安排。4月2日傍晚5点10分的东航前往成都4月3日青城)|3日(4月2日傍晚5点10分的东航前往成都4月3日青城山、都江堰4月4日大熊猫基地宽窄巷川)|4日(的东航前往成都4月3日青城山、都江堰4月4日大熊猫基地宽窄巷川剧院4月5日乐山大佛4)|5日(都江堰4月4日大熊猫基地宽窄巷川剧院4月5日乐山大佛4月6日宽窄巷人民公园（计划是想)|6日(熊猫基地宽窄巷川剧院4月5日乐山大佛4月6日宽窄巷人民公园（计划是想去洛带古镇的，可)|2日(想好好体验下成都的休闲生活）=||=4月2日的飞机原本买的是18点多的，结果航空公司)|一日(广告都坐在缆车上了，注定都江堰和青城山是一日游的。=||= 青城山索道门票正反面，看)|2日(上这座楼亭，就能看到整个都江堰。还说4月2日，是都江堰放水节，很是壮观，看来我们又错)|一日(藏民，一度以为自己到了藏区。  =||=一日游里面的费用含从锦里到宽窄巷的车资，直通)|一天(到达了宽窄巷。大爱这个地方，以至于我最后一天又来了一次。先上当天的宽窄巷图。=||=),第二天(名不虚传，回锅肉不是盖的，啧啧。=||=第二天的行程熊猫基地宽窄巷子川剧在携程上团购了)|第二天(票，结果运气很好的去坐了最高价的票，嗲。第二天成都之旅就这样充实的过完了。期待第三天的)|第三天(。第二天成都之旅就这样充实的过完了。期待第三天的乐山大佛之旅。=||=第三天的行程：乐)|第三天(完了。期待第三天的乐山大佛之旅。=||=第三天的行程：乐山大佛天不给力的下起雨来，这是)|第四天(来这叫钵钵鸡，1.5元没串=||=成都的第四天，放弃了去洛带古镇，选择了去人民公园和宽)
1237088,有一种潇洒叫“徒步”-----虹口三日穿越龙池记,http://www.mafengwo.cn/i/1237088.html,29日(怎么可以浪费？    我们三人如约在3月29日星期五准备好行囊，中间去超市耽搁了很久，)|30日( 图片21这就是我们睡了一夜的营地，3月30日被阳光晃醒。【9:00起床】 图片22睡)|30日(好埃及好埃及。。。 图片25    3月30日农历二月十九日，当地拜菩萨的日子，我们刚)|十九日(。。 图片25    3月30日农历二月十九日，当地拜菩萨的日子，我们刚好赶上潘哥家菜)|三天(不喜欢为别人拍照的同伴真的很可悲呀！户外三天回来，我拍了他们无数张，而属于我的，极少)|一日(4:00重新出发】 图片28终于回到了前一日一上一下的分叉路，问路后就知道往下走了。)|31日(，比在家里还入梦快。 图片43   3月31日早上5点的时候，本来采药人就决定出门的，)|三天(把晚饭吃了，一桌菜75元。最后我总结这次三天的穿越，共花费794元，三人平均下来是2),第二天(哥口中所说的狮子坪了呢，结果不是。（直到第二天都穿出去了，我们都没有注意到“狮子坪”的)
1263013,【❤史上最全成都市内景点4天通玩~！两只吃货的潇洒生活❤】 超多美图超多美食喔,http://www.mafengwo.cn/i/1263013.html,四天(====    好啦~先上一张我们在成都四天的足迹图： 桃粉色D1：文殊院春熙路武侯)|四天(基地宽窄巷子青羊宫  现在想起来，短短的四天时间里，我们疯狂地玩了不少地方呢！瞧这足)|15天(清明小长假期间还是非常诱人的，于是出发前15天就直接预订了。 4日早晨6点到了酒店，清)|4日(诱人的，于是出发前15天就直接预订了。 4日早晨6点到了酒店，清明节客房爆满，这个时)|三天(下来了。到成都不可能不喝苦荞茶，在之后的三天也充分验证了这一点。 回到酒店，兴奋了一)|一天(天也充分验证了这一点。 回到酒店，兴奋了一天的心情还没收回来，先臭美两张再睡！   )|一天(都市本来也不大，每个景点又离得不远，所以一天玩很多地方，甚至一个地方转好几遍，都是完)|6日(据说也是全国前十名最好玩的游乐场了！4月6日早晨9点吃过早饭，激动的心情难以自抑，直)|一天(，但是夜景确实很漂亮，大家下次去可以带上一天的饭玩够~只要你的精神和肉体都能坚持下来)|7日(：大熊猫繁育基地+宽窄巷子+青羊宫】4月7日是我们在城都待的最后一天了，买的火车票是)|一天(子+青羊宫】4月7日是我们在城都待的最后一天了，买的火车票是这天晚上21:15的K6)|4天(会过日子捏！=||=回复清风雅韵：哈哈，4天时间有点紧，两次从那儿经过都没吃成~没事)|一天(||=回复小弟涛哥：那个太刺激了，我坐了一天实在没胆量上去了...我想着留个遗憾，激),第二天(瞧这足迹遍布成都市各个角落！嘿嘿都不知道第二天那5个景点是怎么玩下来的，回到酒店洗完澡)|第一天(~不过真的很充实，很满足。 接下来，是从第一天开始的详细游记和照片啦！   西安到成都)|第二天(的也都卖完了。回到酒店蒙头大睡直接导致我第二天眼袋黑黒。（补上小熊猫马甲~眼睛肿的不管)|第二天(鸡，还有一些零食，准备带在火车上吃。  第二天下火车前，留了最后一张照片。再见了，我爱)
1250270,问顶九峰山，遥望太子城,http://www.mafengwo.cn/i/1250270.html,无,无
946607,九峰山之旅,http://www.mafengwo.cn/i/946607.html,无,无
1327394,一个人的毕业旅行,http://www.mafengwo.cn/i/1327394.html,一日(城山，功夫熊猫的取景地，鸣谢小花和小王的一日导游服务   腊肉     结束成都的游)|一天(夜景 小盒   有故事的地方 字很漂亮 一天的相处虽然短暂，但是永远成为了美好的记忆)|15天(吃到的美食吧            短短15天的旅程结束了，旅程很快乐，但是回来后我分),无
1328561,在路上之我的完美青藏线 （成都篇）,http://www.mafengwo.cn/i/1328561.html,22天(路上之我的完美青藏线”的最后一篇，也是我22天西藏之行的最后一天（15天川藏线+7天青)|一天(”的最后一篇，也是我22天西藏之行的最后一天（15天川藏线+7天青藏线）。有开始便有)|15天(后一篇，也是我22天西藏之行的最后一天（15天川藏线+7天青藏线）。有开始便有结束，有)|7天(22天西藏之行的最后一天（15天川藏线+7天青藏线）。有开始便有结束，有相聚即有分离)|一天(睡眼惺忪的美女，正轻点蛾眉略施粉黛迎接新一天的美好。牛羊像是黑珍珠，赶去装点她的华服)|一天(有一片肥沃的草原，嗯，俺们要去美美的吃上一天，嘿嘿！”“姑娘们，俺们走了啊！”不愧是)|12日(州，一个本不起眼的小县城，2008年5月12日14时28分04.0秒左右的一场里氏8.)|22天(进入成都市了。好吧，成都，我又回来了，在22天后。Ps：卸下所有的行李，入住万里事先帮),无
1049644,流水账 - 11月徒步九峰山,http://www.mafengwo.cn/i/1049644.html,一天(远远超过了通常结账的时间，但老板也只收了一天的钱，不错。随后又用了2个多小时返回成都)|3a(eon=yesreferer=http%3A//www.sclybl.com/dis)|3d(iewthread.php%3Ftid%3D368965%26highlight%3)|3d(D368965%26highlight%3D%25BE%25C5%25B7%25E5),第二天(探路。虽然不到一个小时，但还是有必要的，第二天少走了些冤枉路。从红房子门口的上山入口一)|第二天(电褥子，再盖了2个被子才睡了个安稳觉。 第二天出太阳了，运气真好。吃过早饭，收拾行装上)
1316458,一路向西-武汉-西藏拉萨（一路更新中）,http://www.mafengwo.cn/i/1316458.html,三天(=现在开始后半段真正的川藏片在成都休息了三天，没有一天不下雨的，结果是后面的骑行一样)|一天(后半段真正的川藏片在成都休息了三天，没有一天不下雨的，结果是后面的骑行一样，天天下雨)|8天(的时间摔了次车，这次是在八宿，离拉萨还有8天路程结果手给肘了不能用力按刹车所以现在人)|三四天(能用力按刹车所以现在人在昌都修养，估计要三四天才能上路，安全第一不能因为小问题而让旅途)|2天(康定出发进过折多塘新都桥雅江住在相宗克村2天里程达到相宗克村      没在这休息直)|2天(宗村进过158倒班到红龙村然后到理塘全程2天路程  雅江依山而建  阿志玛家    ),第一天(在在昌都修正，呵呵后续路程继续跟大家直播第一天进过磨山 看到的第一块G318路牌第一天)|第一天(第一天进过磨山 看到的第一块G318路牌第一天要到仙桃，已经一年没骑车了，身体有点僵硬)
1106114,重上九峰山,http://www.mafengwo.cn/i/1106114.html,一日(时大雾迷茫，这次大雾，冰雪，阳光，都在这一日一山间见到。到达观音岩，与上次时间相差无)|一天(还是有点大，上次上去用了差不多7个小时，一天应该能够上去的，，上山很快到第一个寺庙，),无
1052053,香、色、味——成都美食,http://www.mafengwo.cn/i/1052053.html,无,无
1328810,萌物的世界---成都泰迪熊博物馆（持续更新中。。。。。）,http://www.mafengwo.cn/i/1328810.html,无,无
1156766,徒步龙泉山，只为在那桃花盛开的时节,http://www.mafengwo.cn/i/1156766.html,18日(果山的龙泉山格外热闹，通常花开时节为3月18日左右，而2013年的桃花提前开了，3月1)|11日(日左右，而2013年的桃花提前开了，3月11日，选了个周一，约好友一同用徒步的方式，亲),无
1314439,成都、乐山、峨眉山、九寨黄龙10日游——纪念我们一起度过的那些天！！,http://www.mafengwo.cn/i/1314439.html,一日( Day3（2013.6.1):  成都一日游（其实就是随便在市区里逛逛）     )|一日(y4(2013.6.2): 都江堰青城山一日游  由于我们担心一天不够玩这两个地方，)|一天(): 都江堰青城山一日游  由于我们担心一天不够玩这两个地方，而且考虑到下午要赶去乐)|一天(人都被挤成S形了~~~~！所以强烈建议前一天还是住在成都的好，然后早上从成都出来到乐)|1天(哥都很有诚意的买了~~~不过奇哥的坚持了1天就掉在了峨眉的温泉里…… 走去乐山大佛的)|一日(  Day6(2013.6.4):峨眉山一日游     行程：从报国寺车站乘坐到雷洞)|一天(算是峨眉比较好的温泉会馆了，淘宝上买提前一天预订会比较便宜一些。  奇哥就是在这个温)|四日(龙还要找车，所以我们在住的地方楼下报了个四日游的旅行社，纯玩线路，一个人880元，学)|一日(Day 10(2013.6.8):九寨沟一日游（门票半价110元），温度还是比较低的),day1(—成都欢乐谷——九寨沟-黄龙——成都  Day1（2013.5.30):火车（义乌——成)|day2(足了然后睡觉。很快我们就到到达了成都。 Day2（2013.5.31）:  成都 21:)|day3(~~~ 美食，要大家一起享受才够味！  Day3（2013.6.1):  成都一日游（其)|day4(铺、人流和灯光组成春熙路独特的魅力。  Day4(2013.6.2): 都江堰青城山一日)|第二天(个地方，而且考虑到下午要赶去乐山，所以在第二天到达成都火车站的时候就把今天去青城山的动)|day5(热天的，他们也挺辛苦的~~       Day5(2013.6.3)：乐山昨天下午5点多)|day6(说端端真的是大爱龙虾啊！！神速~~！  Day6(2013.6.4):峨眉山一日游   )|day7(果把刚买的护身符弄掉了吧~~！~    Day7(2013.6.5):成都坐车从峨眉山回)|day8(，回到成都，晚上随便逛了逛就休息了。  Day8(2013.6.6):成都欢乐谷 大学学)|day9(装个酷……不过咋感觉这么2捏~！！   Day9(2013.6.7):坐车去九寨沟从成都)|day11(……囧……只能赶紧乘上车逃啦~！！   Day11(2013.6.9):黄龙 九寨沟到黄龙)|day12(So也没拍什么照…… 雪山就在手中！  Day12(2013.6.10):回程到成都 导游)
1311025,世外桃源-------泰安古镇,http://www.mafengwo.cn/i/1311025.html,7日( 6月7日傍晚时分来到泰安古镇=||=泰安古镇环抱)|一天(盏特色灯笼   =||=  =||=回复一天行的引文：多谢老友支持=||=回复旅途人),无
1326062,(玩转大西南）之成都的大熊猫篇,http://www.mafengwo.cn/i/1326062.html,无,无
1175634,成都吃货妹子忍不住分享成都美食~~（持续更新ing）,http://www.mafengwo.cn/i/1175634.html,无,无
1184954,都江堰、青城山一日游实用攻略,http://www.mafengwo.cn/i/1184954.html,6日(、 关于坐车：       我们定在4月6日，也就是清明的最后一天去都江堰。为了能赶)|一天(   我们定在4月6日，也就是清明的最后一天去都江堰。为了能赶上车，我们是提前两天买)|一天(买票或订票，如果实在不行就坐大巴车。如果一天要游览青城山和都江堰这两个地方的话，订动),无
